month,T_max,T_min,Humidity_1,Humidity_2,WindSpeed,Sunshine Hours
5.0,38.0,21.0,84.0,39.0,4.88,6.0
5.0,37.0,25.0,83.0,37.0,8.16,5.4
5.0,38.0,27.0,91.0,47.0,6.55,9.0
5.0,38.0,27.0,84.0,42.0,7.32,9.0
5.0,41.0,25.0,92.0,44.0,9.13,8.0
5.0,38.0,29.0,84.0,41.0,7.95,5.0
5.0,39.0,27.0,92.0,45.0,6.25,8.0
5.0,38.0,29.0,80.0,38.0,7.0,7.0
5.0,39.0,28.0,92.0,42.0,6.85,8.0
5.0,40.0,24.0,88.0,39.0,9.15,8.3
5.0,39.0,25.0,84.0,38.0,8.11,8.0
6.0,41.0,29.0,84.0,43.0,7.42,8.3
6.0,41.0,26.0,92.0,47.0,6.08,9.0
6.0,40.0,25.0,84.0,44.0,8.62,7.0
6.0,37.0,24.0,85.0,49.0,7.62,8.0
6.0,39.0,23.0,92.0,53.0,6.24,8.3
6.0,37.0,27.0,92.0,50.0,5.33,4.0
6.0,34.0,23.0,88.0,51.0,6.73,3.0
6.0,34.0,25.0,84.0,48.0,8.52,4.0
6.0,35.0,25.0,84.0,49.0,5.03,7.0
6.0,36.0,26.0,84.0,49.0,8.3,5.0
6.0,37.0,27.0,91.0,54.0,4.15,6.3
6.0,36.0,28.0,88.0,46.0,5.52,5.3
6.0,41.0,24.0,92.0,53.0,7.12,9.3
6.0,37.0,27.0,88.0,45.0,6.11,9.0
6.0,38.0,23.0,84.0,46.0,7.62,9.0
6.0,37.0,27.0,88.0,47.0,5.8,6.3
6.0,38.0,27.0,88.0,45.0,4.69,8.3
6.0,41.0,24.0,88.0,48.0,7.12,9.3
6.0,39.0,23.0,84.0,46.0,6.05,8.3
6.0,37.0,25.0,84.0,49.0,7.22,8.0
6.0,36.0,26.0,84.0,47.0,5.07,7.3
6.0,36.0,26.0,92.0,50.0,6.41,8.3
6.0,35.0,27.0,88.0,46.0,6.93,7.0
6.0,37.0,27.0,84.0,45.0,5.84,8.0
6.0,37.0,26.0,85.0,48.0,4.52,5.3
6.0,35.0,27.0,85.0,49.0,5.78,7.3
6.0,36.0,23.0,84.0,47.0,4.55,6.4
6.0,37.0,24.0,88.0,46.0,6.13,7.0
6.0,39.0,26.0,80.0,45.0,5.69,8.3
6.0,38.0,25.0,84.0,51.0,6.11,9.0
