month,T_max,T_min,Humidity_1,Humidity_2,WindSpeed,Sunshine Hours
4.0,38.0,24.0,88.0,58.0,5.74,5.0
4.0,37.5,25.0,83.0,46.0,6.44,9.0
4.0,36.0,26.5,84.0,48.0,6.78,10.0
4.0,34.0,27.0,87.0,54.0,5.61,8.0
4.0,38.0,27.0,84.0,54.0,6.48,7.0
4.0,36.0,28.0,86.0,52.0,5.66,8.3
4.0,35.0,24.0,88.0,50.0,6.74,8.0
4.0,37.0,27.0,91.0,58.0,5.86,9.2
5.0,34.0,25.0,72.0,52.0,5.12,6.0
5.0,36.0,26.0,87.0,56.0,4.86,5.3
5.0,36.0,25.0,91.0,62.0,6.24,6.3
5.0,36.0,26.0,83.0,58.0,6.02,4.3
5.0,34.0,26.0,84.0,68.0,5.6,8.3
5.0,35.0,26.0,91.0,66.0,4.89,4.3
5.0,36.0,27.0,91.0,63.0,6.12,3.4
5.0,35.0,26.0,90.0,60.0,5.78,9.3
5.0,36.5,26.5,88.0,64.0,5.3,8.4
5.0,36.0,27.0,87.0,54.0,6.8,5.0
5.0,37.0,26.5,87.0,43.0,7.02,9.0
5.0,34.0,24.0,92.0,51.0,6.55,4.0
5.0,36.0,27.0,89.0,59.0,7.0,8.3
5.0,34.0,26.0,76.0,46.0,5.66,8.0
5.0,39.0,28.0,69.0,44.0,5.35,8.4
5.0,40.0,28.5,87.0,44.0,4.67,9.4
5.0,42.0,28.0,84.0,46.0,5.25,10.0
5.0,40.0,29.0,82.0,48.0,6.44,7.0
5.0,40.0,26.0,88.0,67.0,5.14,9.3
5.0,41.0,35.0,91.0,50.0,5.0,8.3
5.0,40.0,28.0,70.0,52.0,7.21,5.0
5.0,39.0,28.0,84.0,48.0,8.16,9.0
5.0,37.0,29.0,76.0,40.0,6.77,10.0
5.0,34.0,27.0,90.0,52.0,4.68,7.4
5.0,38.0,28.0,88.0,36.0,5.41,6.3
5.0,39.0,29.0,82.0,40.0,5.28,8.4
5.0,35.0,26.0,86.0,62.0,5.76,9.0
5.0,40.0,27.0,84.0,40.0,6.12,7.3
5.0,39.0,26.0,88.0,36.0,5.84,9.2
5.0,40.0,28.0,74.0,43.0,7.23,9.0
5.0,40.0,27.0,72.0,38.0,6.12,8.4
6.0,38.0,27.5,72.0,46.0,6.72,7.0
6.0,40.0,29.0,79.0,62.0,5.23,6.0
6.0,39.0,29.5,72.0,45.0,7.51,7.3
6.0,40.5,30.5,78.0,40.0,7.01,5.0
6.0,40.0,29.0,65.0,38.0,8.12,9.0
6.0,39.0,29.0,85.0,53.0,7.35,10.0
6.0,40.0,31.0,86.0,50.0,6.81,7.3
6.0,40.0,30.0,76.0,48.0,7.4,8.15
6.0,40.0,29.0,78.0,51.0,6.75,8.0
6.0,39.0,28.5,83.0,47.0,8.18,5.2
6.0,40.0,29.0,85.0,52.0,7.31,3.0
6.0,40.0,27.0,74.0,49.0,16.22,8.3
6.0,39.0,28.0,88.0,52.0,10.33,2.3
6.0,38.0,29.0,76.0,36.0,6.85,5.0
6.0,35.5,25.0,74.0,44.0,6.36,4.3
6.0,38.0,31.0,70.0,51.0,7.47,8.4
6.0,38.5,30.0,78.0,40.0,8.93,1.3
6.0,37.0,30.0,83.0,37.0,6.77,2.0
6.0,31.5,29.5,84.0,58.0,7.34,0.0
6.0,28.0,28.0,96.0,62.0,6.12,0.0
6.0,30.0,28.0,94.0,60.0,8.19,1.0
6.0,32.0,28.0,78.0,51.0,5.39,3.3
6.0,34.5,27.0,97.0,68.0,18.2,1.4
6.0,34.0,26.0,86.0,50.0,6.12,4.3
6.0,33.0,26.0,82.0,79.0,6.03,1.3
6.0,30.0,28.0,80.0,53.0,8.53,3.0
6.0,35.5,28.5,77.0,46.0,5.22,3.0
6.0,35.0,28.0,72.0,37.0,6.74,9.2
6.0,38.0,27.0,89.0,58.0,7.41,6.0
6.0,36.5,30.0,74.0,44.0,8.19,8.3
7.0,35.0,28.0,83.0,52.0,5.31,6.0
7.0,38.0,27.0,77.0,48.0,6.58,9.3
7.0,35.0,28.0,79.0,45.0,5.74,7.0
7.0,35.5,30.0,72.0,39.0,6.11,4.3
7.0,34.0,30.0,73.0,43.0,7.55,2.0
7.0,33.5,30.0,74.0,44.0,6.24,3.5
7.0,34.5,29.5,76.0,35.0,5.68,4.0
7.0,34.0,29.0,84.0,54.0,5.35,5.3
7.0,34.0,30.0,76.0,58.0,6.44,7.0
7.0,35.0,29.0,87.0,60.0,6.28,6.0
7.0,36.0,27.5,91.0,42.0,6.0,2.0
7.0,32.5,28.0,87.0,60.0,5.86,4.0
7.0,34.0,28.0,92.0,68.0,13.22,6.3
7.0,33.5,28.0,90.0,62.0,9.12,6.0
7.0,35.0,28.5,74.0,54.0,6.33,9.0
7.0,36.0,29.0,84.0,40.0,6.45,6.0
7.0,32.5,29.0,77.0,43.0,4.89,4.3
7.0,35.0,29.0,78.0,43.0,6.55,4.3
7.0,36.5,29.0,64.0,42.0,5.81,5.0
7.0,34.0,29.5,61.0,40.0,6.18,3.3
7.0,36.0,30.0,68.0,40.0,4.63,1.3
7.0,35.0,29.5,79.0,51.0,6.22,2.0
7.0,36.0,29.0,88.0,54.0,5.51,4.0
7.0,33.5,28.0,86.0,53.0,6.42,10.0
7.0,35.5,30.0,96.0,64.0,8.63,7.0
7.0,31.5,29.0,91.0,60.0,7.33,9.3
7.0,30.5,29.0,75.0,45.0,5.11,8.3
7.0,33.0,29.0,80.0,47.0,5.22,9.0
7.0,35.0,29.5,84.0,50.0,6.29,5.0
7.0,35.0,30.0,72.0,58.0,6.14,6.3
7.0,36.0,31.0,72.0,45.0,6.75,7.3
8.0,36.0,31.0,72.0,40.0,6.23,7.3
8.0,35.0,29.0,85.0,40.0,5.18,6.0
8.0,36.0,30.0,85.0,41.0,8.63,6.0
8.0,32.0,29.0,77.0,45.0,7.48,5.3
8.0,36.0,30.0,76.0,38.0,5.65,5.0
8.0,35.0,30.0,76.0,38.0,5.92,5.3
8.0,37.0,31.0,92.0,57.0,9.32,7.0
8.0,37.0,30.0,76.0,48.0,8.13,6.0
8.0,36.5,29.5,80.0,45.0,6.92,7.3
8.0,36.0,30.0,89.0,40.0,6.47,7.0
8.0,35.0,29.5,92.0,46.0,6.39,6.0
8.0,34.0,29.0,84.0,45.0,5.45,5.0
8.0,35.0,29.0,92.0,56.0,5.68,8.0
8.0,37.0,30.0,84.0,40.0,5.81,4.3
8.0,34.0,30.0,76.0,50.0,11.79,5.0
8.0,37.0,31.0,79.0,40.0,5.61,7.0
8.0,36.5,30.5,88.0,43.0,5.03,6.3
8.0,37.0,31.0,68.0,39.0,7.15,6.0
8.0,35.5,31.0,84.0,56.0,7.08,4.0
8.0,36.0,31.0,80.0,43.0,10.55,5.3
8.0,37.0,30.0,75.0,40.0,8.24,4.3
8.0,37.0,31.0,88.0,42.0,5.35,3.0
8.0,34.0,29.0,74.0,40.0,9.73,7.3
8.0,34.0,29.0,92.0,51.0,7.44,8.3
8.0,33.5,28.0,90.0,50.0,5.39,5.0
8.0,38.0,30.0,88.0,45.0,5.28,8.0
8.0,37.0,29.0,84.0,48.0,6.0,8.0
8.0,36.5,29.0,92.0,50.0,7.33,8.3
8.0,36.0,30.5,78.0,46.0,6.65,7.0
8.0,35.0,31.0,86.0,43.0,5.89,7.3
8.0,35.0,30.0,91.0,48.0,7.13,6.3
9.0,35.0,30.0,87.0,43.0,8.25,3.3
9.0,35.0,31.0,80.0,41.0,8.19,5.3
9.0,34.0,31.0,79.0,38.0,6.25,6.0
9.0,34.0,30.0,89.0,47.0,7.35,4.3
9.0,31.0,29.0,79.0,45.0,9.16,1.3
9.0,31.0,30.0,88.0,45.0,7.23,3.0
9.0,34.0,30.0,84.0,38.0,8.73,4.0
9.0,34.0,31.0,84.0,40.0,7.27,6.0
9.0,35.0,30.0,76.0,38.0,8.36,6.3
9.0,35.0,30.0,79.0,41.0,6.47,5.0
9.0,36.0,29.0,84.0,40.0,6.24,2.0
9.0,36.0,30.0,79.0,40.0,8.45,5.0
9.0,36.0,30.0,80.0,43.0,7.13,6.0
9.0,35.0,31.0,78.0,38.0,5.36,7.0
9.0,35.0,30.0,79.0,42.0,6.28,7.3
9.0,36.0,30.0,87.0,40.0,7.13,6.0
9.0,35.0,31.0,80.0,40.0,8.29,5.0
9.0,37.0,30.0,75.0,42.0,7.46,7.3
9.0,35.0,30.0,90.0,41.0,6.45,4.3
9.0,35.0,31.0,88.0,44.0,7.43,7.3
9.0,34.0,28.0,92.0,48.0,8.73,7.0
9.0,32.0,30.0,87.0,44.0,7.26,2.0
9.0,35.0,29.0,89.0,38.0,5.68,6.0
9.0,36.0,30.0,95.0,45.0,7.25,7.3
9.0,36.0,30.0,95.0,50.0,6.18,6.0
9.0,34.0,29.0,90.0,49.0,8.27,6.3
9.0,34.0,29.0,92.0,48.0,5.96,7.0
9.0,34.0,30.0,90.0,45.0,6.31,7.0
9.0,35.0,29.0,88.0,41.0,6.34,8.0
9.0,33.0,28.0,85.0,42.0,5.68,6.0
10.0,34.0,29.0,79.0,37.0,5.27,8.3
10.0,33.0,28.0,78.0,38.0,5.07,8.0
10.0,34.0,28.0,85.0,40.0,7.28,8.0
10.0,36.0,29.0,88.0,43.0,8.31,9.0
10.0,35.0,27.0,80.0,48.0,7.23,5.3
10.0,34.0,29.0,85.0,44.0,6.86,6.3
10.0,33.0,28.0,82.0,44.0,5.13,7.0
10.0,34.0,29.0,79.0,39.0,5.74,6.3
10.0,34.0,30.0,86.0,45.0,6.29,5.3
10.0,35.0,28.0,78.0,45.0,6.38,6.0
10.0,35.0,28.0,89.0,46.0,7.58,7.3
10.0,34.0,27.0,84.0,40.0,5.46,8.3
10.0,33.0,27.0,88.0,40.0,5.72,7.3
10.0,33.0,26.0,80.0,45.0,4.17,6.0
10.0,32.0,27.0,78.0,42.0,4.63,6.3
10.0,33.0,27.0,87.0,45.0,6.83,7.0
10.0,33.0,26.0,80.0,40.0,5.18,6.3
10.0,33.5,26.0,78.0,48.0,5.08,7.0
10.0,33.5,25.5,80.0,43.0,5.37,8.0
10.0,34.0,25.0,78.0,45.0,6.81,7.0
10.0,33.0,24.0,76.0,40.0,4.57,8.3
10.0,34.0,25.0,76.0,40.0,4.23,7.3
10.0,32.0,23.0,84.0,38.0,5.88,6.0
10.0,33.0,26.0,80.0,46.0,5.42,7.0
10.0,33.0,25.0,82.0,46.0,4.19,8.3
10.0,34.0,27.0,86.0,45.0,4.62,8.0
10.0,33.0,24.0,90.0,40.0,4.97,7.0
10.0,32.0,23.0,86.0,41.0,3.62,6.3
10.0,34.0,24.0,92.0,40.0,5.1,7.0
10.0,33.0,24.0,92.0,40.0,4.92,6.0
10.0,31.0,23.0,91.0,46.0,4.38,5.3
11.0,31.0,23.0,90.0,64.0,4.38,5.3
11.0,33.0,25.0,77.0,58.0,5.71,6.0
11.0,32.0,24.0,90.0,66.0,4.16,5.0
11.0,32.0,25.0,92.0,67.0,4.62,4.3
11.0,31.0,24.0,92.0,62.0,4.68,5.0
11.0,32.0,25.0,92.0,62.0,5.63,7.3
11.0,32.0,24.0,90.0,70.0,5.21,7.0
11.0,34.0,26.0,86.0,70.0,5.37,8.0
11.0,33.0,25.0,90.0,70.0,4.25,7.3
11.0,32.0,26.0,90.0,68.0,5.61,8.0
11.0,31.0,26.0,90.0,62.0,5.23,7.0
11.0,32.0,25.0,90.0,68.0,5.86,6.0
11.0,32.0,26.0,90.0,68.0,5.26,7.3
11.0,32.0,23.0,92.0,72.0,4.31,5.0
11.0,32.0,23.0,80.0,40.0,4.43,6.0
11.0,29.0,23.0,83.0,56.0,4.26,2.0
11.0,32.0,24.0,91.0,68.0,5.68,6.0
11.0,33.0,25.0,82.0,47.0,4.73,5.0
11.0,33.0,24.0,88.0,51.0,4.14,9.0
11.0,34.0,24.0,89.0,51.0,4.81,9.0
11.0,33.0,26.0,85.0,56.0,4.28,7.3
11.0,31.0,24.0,90.0,59.0,4.68,3.3
11.0,31.0,23.0,86.0,60.0,4.31,5.0
11.0,30.0,24.0,91.0,54.0,5.03,6.0
11.0,30.0,25.0,90.0,52.0,5.07,4.0
11.0,31.0,24.0,91.0,56.0,5.63,7.0
11.0,31.0,23.0,91.0,56.0,4.81,6.3
11.0,30.0,23.0,90.0,60.0,4.83,3.0
11.0,31.0,23.0,91.0,58.0,5.14,6.0
11.0,30.0,23.0,91.0,52.0,4.42,7.0
12.0,31.0,23.0,90.0,64.0,4.38,5.3
12.0,29.0,21.0,89.0,65.0,4.25,8.0
12.0,30.0,21.0,90.0,61.0,4.6,5.3
12.0,31.0,22.0,86.0,60.0,5.43,5.5
12.0,30.0,22.0,88.0,63.0,3.36,6.0
12.0,30.0,22.0,89.0,64.0,4.1,6.3
12.0,29.0,21.0,86.0,50.0,4.93,6.0
12.0,30.0,20.0,82.0,62.0,4.45,5.4
12.0,29.0,20.0,86.0,54.0,5.28,7.0
12.0,29.0,21.0,90.0,58.0,4.74,8.3
12.0,28.0,21.0,90.0,56.0,4.8,8.5
12.0,28.0,21.0,90.0,69.0,5.2,7.0
12.0,27.0,21.0,89.0,62.0,4.56,9.0
12.0,27.0,22.0,90.0,63.0,4.62,5.4
12.0,29.0,20.0,89.0,60.0,4.3,8.3
12.0,29.0,18.0,90.0,47.0,6.02,6.2
12.0,30.0,19.0,89.0,51.0,3.76,6.0
12.0,30.0,18.0,88.0,66.0,5.86,5.2
12.0,29.0,18.0,88.0,59.0,4.65,5.0
12.0,29.0,19.0,89.0,65.0,5.34,6.1
12.0,29.0,19.0,88.0,65.0,5.44,6.0
12.0,29.0,18.0,85.0,58.0,3.86,8.0
12.0,29.0,18.0,90.0,46.0,4.88,7.2
12.0,30.0,18.0,84.0,63.0,5.18,8.0
12.0,30.0,19.0,89.0,57.0,4.09,5.3
12.0,28.0,22.0,86.0,54.0,5.57,6.2
12.0,29.0,21.0,90.0,53.0,3.26,6.0
12.0,29.0,20.0,90.0,52.0,5.73,5.4
12.0,30.0,23.0,90.0,54.0,5.61,6.3
12.0,31.0,20.0,80.0,45.0,4.21,6.0
12.0,31.0,21.0,85.0,46.0,4.33,7.0
1.0,31.0,23.0,90.0,64.0,4.38,5.3
1.0,29.0,22.0,86.0,58.0,5.61,6.0
1.0,28.0,21.0,88.0,55.0,5.83,6.3
1.0,31.0,23.0,89.0,65.0,4.8,6.0
1.0,28.0,19.0,88.0,55.0,4.96,4.0
1.0,29.0,18.0,90.0,58.0,6.52,4.2
1.0,28.0,18.0,89.0,55.0,4.06,4.0
1.0,29.0,19.0,89.0,57.0,4.31,5.0
1.0,30.0,22.0,86.0,51.0,4.85,5.3
1.0,29.5,19.0,90.0,60.0,4.93,5.2
1.0,30.0,23.0,86.0,55.0,5.6,6.0
1.0,28.0,18.0,89.0,50.0,3.97,7.0
1.0,29.0,21.0,89.0,56.0,4.6,7.4
1.0,29.0,20.0,91.0,52.0,4.32,7.4
1.0,29.0,17.0,88.0,58.0,4.52,4.2
1.0,30.0,22.0,86.0,58.0,4.92,8.0
1.0,29.0,21.0,89.0,56.0,6.23,5.0
1.0,28.0,18.0,86.0,51.0,6.8,6.0
1.0,30.0,22.0,89.0,62.0,5.52,6.3
1.0,29.0,20.0,89.0,60.0,4.99,6.3
1.0,31.0,21.0,88.0,55.0,5.0,8.3
1.0,28.0,19.0,88.0,52.0,4.66,6.1
1.0,29.0,20.0,90.0,49.0,5.21,6.0
1.0,29.0,18.0,86.0,50.0,5.3,5.4
1.0,29.0,19.0,90.0,52.0,6.47,7.0
1.0,29.0,20.0,90.0,56.0,4.88,7.0
1.0,31.0,22.0,90.0,54.0,4.63,8.3
1.0,30.0,21.0,90.0,55.0,4.24,8.0
1.0,32.0,23.0,87.0,53.0,5.28,9.0
1.0,28.0,19.0,90.0,52.0,5.86,6.3
1.0,29.0,18.0,89.0,54.0,5.62,6.0
2.0,32.0,23.0,90.0,52.0,5.13,6.0
